Stoppages,lat,lng,aerial_distance,orig_distance
Mio Amore,22.6096565,88.4321369,0.04,0.04
Ganga river,22.6549087,88.355342,9.946120782,18
Bally,22.6474308,88.3220165,12.68655937,21
Kona more,22.6228927,88.2924768,15.04563785,26
Pakuria,22.6200176,88.2689848,17.41918571,28
Alampur,22.5820498,88.2060556,24.01701748,38
Dhulagarh Toll,22.5731795,88.1795762,26.84451954,40
Ranihati bazar,22.559528,88.1492785,30.16346844,42
Panchla,22.537984,88.116881,33.91587666,47
Uluberia,22.4693795,88.0704449,40.82037999,55
Bagnan,22.4639807,87.9592767,51.75133276,68
Barunda,22.4581936,87.8940599,58.33744053,72
Rupnarayan river,22.4461999,87.8942577,58.71656767,
Kolaghat,22.4264376,87.8791117,60.89776641,85
Sidhdha,22.4202597,87.7811351,70.67030674,88
Janabar,22.410785,87.7069763,78.27044025,97
Dalpatipur,22.39207,87.5760763,91.78295603,115
Debra Toll,22.3969038,87.5206625,97.1545675,115
Hirbandh,22.34554,87.4808941,102.6202762,
Gholagere,22.3493181,87.3781006,112.6744918,136
Chakturia,22.2840797,87.3888302,113.7229732,145
Rampura toll,22.2408283,87.3900758,115.2350235,148
Hadla,22.1603299,87.3919649,118.5585616,163
Dantan,22.0441999,87.3648912,126.9914625,192
Laxmannath toll,21.8386704,87.2444738,149.7591158,200
Subarnarekha river,21.7100411,87.2548711,157.5845364,
Jaleswar,21.8018492,87.2107977,154.9633152,207
Haldipada,21.5446273,86.9991865,189.6911493,245
Nidhipanda,21.5526731,86.9833805,190.4106626,249
Balasore,21.4827512,86.8791792,203.6888683,260
Seragarh toll,21.4596503,86.8650462,206.4299408,269
Begunia,21.3951523,86.8156751,214.9091128,282
Jamujhadi,21.2145941,86.6657206,239.7072924,306
Charampa,21.0892584,86.543715,258.3955943,324
Bhadrak,21.0729678,86.5204972,261.4014377,329
Gelpur,21.0422645,86.4914224,265.9203754,334
Baitarini river,20.9151219,86.3245989,288.2644555,
Panikholi Toll,20.897931,86.2141771,298.2173681,364
Barabati,20.8000042,86.1434509,310.8706698,380
Brahmoni River,20.781075,86.1479264,311.8971166,
Mahanadi River,20.4067584,85.8385907,363.6691274,
Cuttack,20.5633853,86.018156,338.1122133,
Manguli toll,20.5401328,85.9613885,344.215268,411
Puri bypass ,20.2861915,86.0456583,357.7544234,451
Uttara,20.2314302,85.9993534,365.4986408,462
Gudia Pokhri,20.1767844,85.8779499,378.6365737,466
Pipli Toll,20.1371621,85.8369135,384.7814388,468
Satasankha,19.932048,85.7747428,405.8625552,487
Sakhi gopal,19.9674564,85.8003209,401.1525621,494
Puri,19.7380773,85.8549143,416.658413,511
